,Country,URL
122,Twitter,https://twitter.com/starbucks/
108,United Kingdom,https://starbucksmenuprices.com/starbucks-menu-prices-uk/
83,United Kingdom,https://starbucksmenuprices.com/starbucks-menu-prices-uk/
28,United Kingdom,https://starbucksmenuprices.com/starbucks-menu-prices-uk/
53,United Kingdom,https://starbucksmenuprices.com/starbucks-menu-prices-uk/
84,United States,https://starbucksmenuprices.com/starbucks-prices-in-usa/
54,United States,https://starbucksmenuprices.com/starbucks-prices-in-usa/
109,United States,https://starbucksmenuprices.com/starbucks-prices-in-usa/
29,United States,https://starbucksmenuprices.com/starbucks-prices-in-usa/
121,YouTube,https://www.youtube.com/starbucks
